3, No+AC0-lagromory, Lagromory 20+AC0-3, Lagr20+AC0-3 plus cplex cuts
cont_rand_perc050_015_005_010_002_10_04.lp, 2345.91029, 233.427629, 176.614603
cont_rand_perc050_015_005_010_002_10_05.lp, 3600.020394, 3600.017165, 3600.028261
cont_rand_perc050_015_005_010_002_10_06.lp, 0.158037, 1.823453, 16.970333
cont_rand_perc050_015_005_010_002_10_07.lp, 39.340683, 19.145939, 27.500394
cont_rand_perc050_015_005_010_002_10_08.lp, 28.631342, 368.109141, 43.923731
cont_rand_perc050_015_005_010_002_10_09.lp, 127.240337, 11.926187, 15.389513
cont_rand_perc050_015_005_010_004_10_00.lp, 1236.321316, 835.060238, 110.392529
cont_rand_perc050_015_005_010_004_10_01.lp, 3600.055101, 3600.024037, 3600.010991
cont_rand_perc050_015_005_010_004_10_02.lp, 2540.58751, 3600.011832, 3600.011758
cont_rand_perc050_015_005_010_004_10_03.lp, 1515.938172, 1268.311223, 723.905974
cont_rand_perc050_015_005_010_004_10_04.lp, 28.671003, 15.488394, 18.482338
cont_rand_perc050_015_005_010_004_10_05.lp, 17.487321, 27.6172, 31.978448
cont_rand_perc050_015_005_010_004_10_06.lp, 3600.032455, 199.420025, 171.525037
cont_rand_perc050_015_005_010_004_10_07.lp, 145.516437, 828.65132, 85.968909
cont_rand_perc050_015_005_010_004_10_08.lp, 3600.036985, 3600.003339, 3600.022395
cont_rand_perc050_015_005_010_004_10_09.lp, 69.048396, 79.561699, 45.730557
cont_rand_perc050_015_008_010_001_10_00.lp, 0.236103, 0.517023, 8.00909
cont_rand_perc050_015_008_010_001_10_01.lp, 39.322479, 4.587504, 85.215634
cont_rand_perc050_015_008_010_001_10_02.lp, 6.99266, 12.217008, 27.529255
cont_rand_perc050_015_008_010_001_10_03.lp, 4.597263, 3.058758, 10.295191
cont_rand_perc050_015_008_010_001_10_04.lp, 4.59683, 4.865622, 15.822364
cont_rand_perc050_015_008_010_001_10_05.lp, 0.19558, 0.860529, 7.061042
cont_rand_perc050_015_008_010_001_10_06.lp, 4.723224, 2.746759, 24.929801
cont_rand_perc050_015_008_010_001_10_07.lp, 1.663126, 0.963913, 39.901954
cont_rand_perc050_015_008_010_001_10_08.lp, 12.084576, 6.227264, 31.521138
cont_rand_perc050_015_008_010_001_10_09.lp, 47.614813, 12.37147, 53.467984
cont_rand_perc050_015_008_010_002_10_00.lp, 10.697903, 6.477767, 31.583215
cont_rand_perc050_015_008_010_002_10_01.lp, 8.908302, 9.98156, 25.070747
cont_rand_perc050_015_008_010_002_10_02.lp, 475.488889, 3600.025256, 164.680228
cont_rand_perc050_015_008_010_002_10_03.lp, 2.171097, 1.724647, 22.815601
cont_rand_perc050_015_008_010_002_10_04.lp, 4.294378, 0.783905, 21.664083
cont_rand_perc050_015_008_010_002_10_05.lp, 3.183038, 7.9671, 17.580582
cont_rand_perc050_015_008_010_002_10_06.lp, 3600.014827, 3600.008181, 3600.010229
cont_rand_perc050_015_008_010_002_10_07.lp, 4.404382, 7.105576, 17.216776
cont_rand_perc050_015_008_010_002_10_08.lp, 16.548859, 47.954191, 59.719417
cont_rand_perc050_015_008_010_002_10_09.lp, 1.488605, 0.514928, 9.696558
cont_rand_perc050_015_008_010_004_10_00.lp, 30.522667, 47.975073, 24.767382
cont_rand_perc050_015_008_010_004_10_01.lp, 97.122809, 417.721626, 44.591406
cont_rand_perc050_015_008_010_004_10_02.lp, 3600.010574, 27.622535, 51.801157
cont_rand_perc050_015_008_010_004_10_03.lp, 10.622788, 44.390746, 70.220013
cont_rand_perc050_015_008_010_004_10_04.lp, 260.405348, 287.181026, 41.065596
cont_rand_perc050_015_008_010_004_10_05.lp, 76.187769, 60.89447, 57.500553
cont_rand_perc050_015_008_010_004_10_06.lp, 71.285942, 77.909621, 77.908438
cont_rand_perc050_015_008_010_004_10_07.lp, 753.004604, 3600.074004, 110.245645
cont_rand_perc050_015_008_010_004_10_08.lp, 78.064267, 155.770135, 100.910782
cont_rand_perc050_015_008_010_004_10_09.lp, 32.333226, 19.352959, 46.818293
