3, No+AC0-lagromory, Lagromory 20+AC0-3, Lagr20+AC0-3 plus cplex cuts
bin_rand_perc030_015_008_010_002_10_03.lp, 3.764521, 4.869428, 5.509425
bin_rand_perc030_015_008_010_002_10_04.lp, 0.456662, 1.614613, 2.154222
bin_rand_perc030_015_008_010_002_10_05.lp, 1.226372, 1.944012, 3.143463
bin_rand_perc030_015_008_010_002_10_06.lp, 1.72135, 3.504698, 5.982506
bin_rand_perc030_015_008_010_002_10_07.lp, 2.928473, 3600.002034, 6.870173
bin_rand_perc030_015_008_010_002_10_08.lp, 2.970597, 6.414895, 5.190295
bin_rand_perc030_015_008_010_002_10_09.lp, 1.367, 3.394669, 3.343414
bin_rand_perc030_015_008_010_004_10_00.lp, 3600.004302, 3600.015312, 3600.013597
bin_rand_perc030_015_008_010_004_10_01.lp, 4.619004, 53.462158, 6.936565
bin_rand_perc030_015_008_010_004_10_02.lp, 1182.838841, 5.648243, 918.006008
bin_rand_perc030_015_008_010_004_10_03.lp, 5.53365, 130.091234, 4.224671
bin_rand_perc030_015_008_010_004_10_04.lp, 1.535035, 3.784056, 2.862359
bin_rand_perc030_015_008_010_004_10_05.lp, 63.492178, 7.178628, 8.561097
bin_rand_perc030_015_008_010_004_10_06.lp, 3.802642, 2.349206, 4.313605
bin_rand_perc030_015_008_010_004_10_07.lp, 3600.002499, 293.639933, 213.9986
bin_rand_perc030_015_008_010_004_10_08.lp, 3600.001684, 989.539922, 2016.434713
bin_rand_perc030_015_008_010_004_10_09.lp, 3.249015, 3.426107, 4.47142
bin_rand_perc040_015_010_010_001_10_00.lp, 4.511618, 3600.003025, 6.911434
bin_rand_perc040_015_010_010_001_10_01.lp, 3.256325, 37.369597, 6.057406
bin_rand_perc040_015_010_010_001_10_02.lp, 1.19155, 391.158088, 4.39873
bin_rand_perc040_015_010_010_001_10_03.lp, 33.541141, 1611.658011, 5.866171
bin_rand_perc040_015_010_010_001_10_04.lp, 2.530679, 3600.001668, 3.203906
bin_rand_perc040_015_010_010_001_10_05.lp, 2.337583, 17.968236, 11.438228
bin_rand_perc040_015_010_010_001_10_06.lp, 2.961477, 10.095518, 4.612214
bin_rand_perc040_015_010_010_001_10_07.lp, 1.712656, 3600.00105, 4.672403
bin_rand_perc040_015_010_010_001_10_08.lp, 4.81471, 10.234881, 4.187353
bin_rand_perc040_015_010_010_001_10_09.lp, 2.96646, 34.511097, 3.090972
bin_rand_perc040_015_010_010_002_10_00.lp, 7.906501, 3600.002979, 12.894369
bin_rand_perc040_015_010_010_002_10_01.lp, 3600.019281, 3600.002365, 3600.180341
bin_rand_perc040_015_010_010_002_10_02.lp, 4.245674, 28.632394, 6.386943
bin_rand_perc040_015_010_010_002_10_03.lp, 117.061486, 49.987106, 14.74376
bin_rand_perc040_015_010_010_002_10_04.lp, 5.401898, 10.877186, 8.736473
bin_rand_perc040_015_010_010_002_10_05.lp, 100.63525, 598.862937, 1772.502251
bin_rand_perc040_015_010_010_002_10_06.lp, 45.883172, 17.397768, 30.046245
